name,ratings,num_ratings,processor,ram,os,storage,price,org_price,Brand,num_reviews
APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,4.7,9902,Apple M1 Processor,8,Mac OS Operating System,256,85990,99900.0,APPLE,863.0
HP 247 G8 Athlon Dual Core - (8 GB/1 TB HDD/Windows 11 Home) 247 G8 Notebook Notebook,3.7,48,AMD Athlon Dual Core Processor,8,Windows 11 Operating System,1020,23890,33267.0,HP,4.0
ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS | X515EA-EJ328WS ...,4.2,2141,Intel Core i3 Processor (11th Gen),8,64 bit Windows 11 Operating System,512,34990,50990.0,ASUS,205.0
realme Book (Slim) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light Laptop,4.4,13489,Intel Core i3 Processor (11th Gen),8,64 bit Windows 10 Operating System,256,35990,54999.0,realme,1954.0
acer Aspire 7 Ryzen 5 Hexa Core AMD R5-5500U - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,4.4,5891,AMD Ryzen 5 Hexa Core Processor,8,64 bit Windows 11 Operating System,512,49999,84990.0,acer,699.0
HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light Laptop,4.2,2672,Intel Core i3 Processor (11th Gen),8,64 bit Windows 11 Operating System,256,36490,47279.0,HP,230.0
Lenovo ThinkBook 15 Ryzen 3 Hexa Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) TB15 G3 ACL Thin and L...,4.2,329,AMD Ryzen 3 Hexa Core Processor,8,Windows 11 Operating System,512,32990,58500.0,Lenovo,61.0
HP Victus Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) 1...,4.0,153,Intel Core i5 Processor (11th Gen),8,Windows 11 Operating System,512,58990,84419.0,HP,17.0
HP 15s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fr2511TU Thin and Light Laptop,4.3,695,Intel Core i3 Processor (11th Gen),8,64 bit Windows 11 Operating System,512,38990,50585.0,HP,59.0
Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL05 Thin and Ligh...,4.2,400,Intel Core i3 Processor (11th Gen),8,64 bit Windows 11 Operating System,256,33990,60890.0,Lenovo,36.0
HP 15s Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5111TU Thin and Light Laptop,4.3,1613,Intel Core i5 Processor (12th Gen),8,64 bit Windows 11 Operating System,512,55990,70235.0,HP,114.0
HP 14s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light Laptop,4.3,4571,Intel Core i3 Processor (11th Gen),8,64 bit Windows 11 Operating System,512,38990,49509.0,HP,395.0
acer Extensa (2023) Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) EX215-23 Notebook,4.1,114,AMD Ryzen 5 Quad Core Processor,8,64 bit Windows 11 Operating System,512,38990,51999.0,acer,25.0
Infinix INBook X2 Plus Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL25 Thin and Light Laptop,4.0,198,Intel Core i5 Processor (11th Gen),8,64 bit Windows 11 Operating System,512,38990,54990.0,Infinix,42.0
ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and Light La...,4.2,1070,Intel Core i5 Processor (11th Gen),8,64 bit Windows 11 Operating System,512,44990,69990.0,ASUS,94.0
ASUS Vivobook K15 OLED Ryzen 5 Hexa Core AMD R5-5500U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L51...,4.4,1258,AMD Ryzen 5 Hexa Core Processor,16,64 bit Windows 11 Operating System,512,47990,80990.0,ASUS,131.0
Lenovo V15 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) V15 G2 ALC Thin and Light Lapto...,4.1,35,AMD Ryzen 5 Hexa Core Processor,8,Windows 11 Operating System,512,38990,69525.0,Lenovo,4.0
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL30 Thin and...,4.1,407,Intel Celeron Quad Core Processor (11th Gen),8,Windows 11 Operating System,256,23990,34990.0,Infinix,68.0
HP 15s (2023) Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light...,4.1,1362,AMD Ryzen 3 Dual Core Processor,8,Windows 11 Operating System,512,32990,39995.0,HP,136.0
MSI Bravo 15 Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX65...,4.6,61,AMD Ryzen 7 Octa Core Processor,16,64 bit Windows 11 Operating System,512,59990,72990.0,MSI,13.0
APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN93HN/A,4.7,9902,Apple M1 Processor,8,Mac OS Operating System,256,85990,99900.0,APPLE,863.0
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Lap...,4.3,1896,AMD Ryzen 5 Hexa Core Processor,8,64 bit Windows 11 Operating System,512,43975,80390.0,Lenovo,201.0
APPLE 2022 MacBook AIR M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY33HN/A,4.7,178,Apple M2 Processor,8,Mac OS Operating System,256,110490,119900.0,APPLE,20.0
HP Victus Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/14...,4.3,720,Intel Core i5 Processor (12th Gen),8,64 bit Windows 11 Operating System,512,62890,74829.0,HP,54.0
ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,4.1,2173,Intel Celeron Dual Core Processor,4,64 bit Windows 11 Operating System,256,25990,33990.0,ASUS,241.0
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Lap...,4.3,1896,AMD Ryzen 5 Hexa Core Processor,8,64 bit Windows 11 Operating System,512,43975,80390.0,Lenovo,201.0
HP Victus Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/14...,4.3,720,Intel Core i5 Processor (12th Gen),8,64 bit Windows 11 Operating System,512,62890,74829.0,HP,54.0
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and Light ...,4.2,561,Intel Core i3 Processor (10th Gen),8,64 bit Windows 11 Operating System,512,29990,49990.0,Infinix,77.0
ASUS Vivobook 15 Core i3 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) X515EA-EJ342WS Thin and Light L...,4.2,2141,Intel Core i3 Processor (11th Gen),16,Windows 11 Operating System,512,38990,49990.0,ASUS,205.0
APPLE 2022 MacBook AIR M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY13HN/A,4.8,77,Apple M2 Processor,8,Mac OS Operating System,256,110490,119900.0,APPLE,10.0
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL6 Laptop,4.3,33,Intel Core i3 Processor (11th Gen),8,Windows 11 Operating System,256,33990,60090.0,Lenovo,2.0
APPLE 2022 MacBook Pro M2 - (8 GB/256 GB SSD/Mac OS Monterey) MNEH3HN/A,4.6,54,Apple M2 Processor,8,Mac OS Operating System,256,119990,129900.0,APPLE,3.0
MSI Core i7 11th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 305...,4.3,444,Intel Core i7 Processor (11th Gen),16,Windows 11 Operating System,1020,71990,89990.0,MSI,39.0
Lenovo V15 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) V15 G2 ALC Thin and Light Lapto...,4.1,35,AMD Ryzen 5 Hexa Core Processor,8,Windows 11 Operating System,512,38990,69525.0,Lenovo,4.0
HP Pavilion Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-dv2014TU Thin and Light Lap...,4.3,580,Intel Core i5 Processor (12th Gen),16,64 bit Windows 11 Operating System,512,66800,77142.0,HP,51.0
HP Pavilion Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) 14-EC1003AU Thin and Light Lap...,4.4,335,AMD Ryzen 5 Hexa Core Processor,8,64 bit Windows 11 Operating System,512,52990,61023.0,HP,42.0
APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN93HN/A,4.7,9902,Apple M1 Processor,8,Mac OS Operating System,256,85990,99900.0,APPLE,863.0
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,4.5,5421,Intel Core i5 Processor (10th Gen),8,64 bit Windows 11 Operating System,512,54990,74990.0,ASUS,584.0
HP Laptop Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq2717TU Thin and Light Laptop,4.2,164,Intel Core i3 Processor (11th Gen),8,Windows 11 Operating System,512,38990,49025.0,HP,12.0
MSI Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) GF63 T...,4.4,854,Intel Core i5 Processor (11th Gen),16,Windows 11 Operating System,512,53990,70990.0,MSI,83.0
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL30 Thin and...,4.1,220,Intel Celeron Quad Core Processor (11th Gen),8,Windows 11 Operating System,512,26490,39990.0,Infinix,46.0
realme Book Prime Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) CloudPro002 Thin and Light Lapt...,3.8,13,Intel Core i5 Processor (11th Gen),8,Windows 11 Operating System,512,45990,69999.0,realme,3.0
DELL Inspiron Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) INSPIRON 3511 Thin and Light Lapto...,4.1,121,Intel Core i5 Processor (11th Gen),16,64 bit Windows 11 Operating System,512,57690,83022.0,DELL,13.0
HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,4.3,1765,AMD Ryzen 5 Hexa Core Processor,8,64 bit Windows 11 Operating System,512,43990,54552.0,HP,135.0
HP Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 14s-fq1089au Thin and Light Laptop,4.3,2314,AMD Ryzen 3 Quad Core Processor,8,64 bit Windows 11 Operating System,512,38990,47716.0,HP,290.0
acer Aspire 7 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 16...,4.3,3726,Intel Core i5 Processor (12th Gen),16,64 bit Windows 11 Operating System,512,61990,85999.0,acer,407.0
Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core 5600H - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home/4 GB Graph...,4.1,88,AMD Ryzen 5 Hexa Core Processor,8,64 bit Windows 11 Operating System,1020,53990,89490.0,Lenovo,11.0
acer Extensa (2023) Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) EX215-23 Notebook,4.6,7,AMD Ryzen 5 Quad Core Processor,8,64 bit Windows 11 Operating System,512,41990,50999.0,acer,2.0
Lenovo IdeaPad 3 Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14IAU7 Thin and Light Laptop,3.7,11,Intel Core i3 Processor (12th Gen),8,Windows 11 Operating System,512,41990,69390.0,Lenovo,1.0
SAMSUNG Galaxy Book3 Core i5 Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) Galaxy Book3 Thin a...,4.6,26,Intel Core i5 Processor (13th Gen),16,Windows 11 Operating System,512,74990,99990.0,SAMSUNG,6.0
APPLE 2023 MacBook Pro M2 Pro - (16 GB/512 GB SSD/macOS Ventura) MPHH3HN/A,4.8,4,Apple M2 Pro Processor,16,Mac OS Operating System,512,183990,199900.0,APPLE,1.0
HP Pavilion (2023) Eyesafe Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 14-EC1019AU Th...,4.4,400,AMD Ryzen 5 Hexa Core Processor,16,64 bit Windows 11 Operating System,512,57990,69083.0,HP,52.0
MSI Core i7 11th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 165...,4.3,3,Intel Core i7 Processor (11th Gen),16,Windows 11 Operating System,1020,62990,81990.0,MSI,0.0
ASUS ROG Strix G15 (2022) with 90Whr Battery Ryzen 7 Octa Core AMD R7-6800H - (16 GB/1 TB SSD/Windows ...,4.4,9,AMD Ryzen 7 Octa Core Processor,16,Windows 11 Operating System,1020,124990,184990.0,ASUS,0.0
ASUS ROG Strix G15 Ryzen 7 Octa Core AMD R7-4800H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVID...,4.4,308,AMD Ryzen 7 Octa Core Processor,16,Windows 11 Operating System,1020,84990,115990.0,ASUS,31.0
SAMSUNG Galaxy Book Go Snapdragon 7c Gen 2 - (4 GB/128 GB EMMC Storage/Windows 11 Home) NP340XLA-KA1IN...,4.2,135,Qualcomm Snapdragon 7c Gen 2 Processor,4,Windows 11 Operating System,0,32990,47990.0,SAMSUNG,24.0
Lenovo IdeaPad Slim 3 Intel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Ligh...,4.2,69,Intel Core i5 Processor (11th Gen),16,Windows 11 Operating System,512,54990,80290.0,Lenovo,4.0
acer Predator Helios Neo 16 Core i7 13th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA ...,5.0,3,Intel Core i7 Processor (13th Gen),16,Windows 11 Operating System,512,124990,156999.0,acer,1.0
Infinix INBook X2 Plus Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL25 Thin and Light Laptop,4.0,198,Intel Core i5 Processor (11th Gen),8,64 bit Windows 11 Operating System,512,38990,54990.0,Infinix,42.0
SAMSUNG Galaxy Book3 Core i5 Core i5 13th Gen - (8 GB/512 GB SSD/Windows 11 Home) Galaxy Book3 Thin an...,4.4,41,Intel Core i5 Processor (13th Gen),8,Windows 11 Operating System,512,69990,93990.0,SAMSUNG,8.0
realme Book Prime Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) CloudPro002 Thin and Light Lap...,4.2,216,Intel Core i5 Processor (11th Gen),16,Windows 11 Operating System,512,54990,74999.0,realme,40.0
APPLE 2022 MacBook AIR M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLXY3HN/A,4.7,56,Apple M2 Processor,8,Mac OS Operating System,256,110490,119900.0,APPLE,7.0
HP Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s- fr4000TU Thin and Light Laptop,4.3,495,Intel Core i5 Processor (11th Gen),8,64 bit Windows 11 Operating System,512,52990,56903.0,HP,30.0
HP Victus Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX...,4.5,8,AMD Ryzen 7 Octa Core Processor,16,Windows 11 Operating System,512,77990,95554.0,HP,0.0
HP Laptop with Backlit Keyboard Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fr2512tu Lapt...,4.4,249,Intel Core i3 Processor (11th Gen),8,64 bit Windows 11 Operating System,512,39990,51724.0,HP,22.0
Lenovo Legion 5 Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,4.1,26,AMD Ryzen 7 Octa Core Processor,16,64 bit Windows 11 Operating System,512,104990,162290.0,Lenovo,5.0
DELL Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and Light Laptop,4.0,185,Intel Core i3 Processor (12th Gen),8,64 bit Windows 11 Operating System,512,44890,62841.0,DELL,15.0
ASUS TUF GAMING A15 Ryzen 7 Octa Core 4800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,4.6,8,AMD Ryzen 7 Octa Core Processor,8,64 bit Windows 11 Operating System,512,75990,92990.0,ASUS,2.0
HP Pavilion Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 15-eh2024AU Thin and Light La...,4.4,108,AMD Ryzen 5 Hexa Core Processor,16,64 bit Windows 11 Operating System,512,58990,69012.0,HP,12.0
ASUS TUF Gaming A17 with 90Whr Battery Ryzen 7 Octa Core AMD R7-4800H - (8 GB/512 GB SSD/Windows 11 Ho...,4.4,996,AMD Ryzen 7 Octa Core Processor,8,64 bit Windows 11 Operating System,512,67990,94990.0,ASUS,99.0
MSI Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C11M-031IN Thin and Light Laptop,4.3,138,Intel Core i3 Processor (11th Gen),8,Windows 11 Operating System,512,34990,52990.0,MSI,24.0
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL30 Thin and...,4.1,407,Intel Celeron Quad Core Processor (11th Gen),8,Windows 11 Operating System,256,23990,34990.0,Infinix,68.0
HP Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15s- eq2182AU Thin and Light Laptop,4.3,587,AMD Ryzen 5 Hexa Core Processor,16,64 bit Windows 11 Operating System,512,49990,59109.0,HP,60.0
ASUS Vivobook Pro 15 Ryzen 7 Octa Core AMD R7-4800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/...,4.4,1584,AMD Ryzen 7 Octa Core Processor,16,64 bit Windows 11 Operating System,512,59990,82990.0,ASUS,188.0
