name,ratings,num_ratings,processor,ram,os,storage,price,org_price
APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,4.7,"9,917 Ratings & 863 Reviews",Apple M1 Processor,8 GB DDR4 RAM,Mac OS Operating System,256 GB SSD,"₹79,990","₹99,900"
ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS | X515EA-EJ328WS ...,4.2,"2,167 Ratings & 206 Reviews",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,"₹34,990","₹56,990"
HP 247 G8 Athlon Dual Core - (8 GB/1 TB HDD/Windows 11 Home) 247 G8 Notebook Notebook,3.7,48 Ratings & 4 Reviews,AMD Athlon Dual Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,1 TB HDD,"₹23,890","₹33,267"
realme Book (Slim) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light Laptop,4.4,"13,494 Ratings & 1,955 Reviews",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,"₹35,990","₹54,999"
HP Victus Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) 1...,4.1,162 Ratings & 17 Reviews,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,"₹58,990","₹84,419"
Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL05 Thin and Ligh...,4.2,403 Ratings & 36 Reviews,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,"₹33,990","₹60,890"
acer Extensa (2023) Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) EX215-23 Notebook,4.1,117 Ratings & 26 Reviews,AMD Ryzen 5 Quad Core Processor,8 GB LPDDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,"₹39,990","₹51,999"
Lenovo ThinkBook 15 Ryzen 3 Hexa Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) TB15 G3 ACL Thin and L...,4.2,329 Ratings & 61 Reviews,AMD Ryzen 3 Hexa Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,"₹32,990","₹58,500"
ASUS Vivobook K15 OLED Ryzen 5 Hexa Core AMD R5-5500U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L51...,4.4,"1,269 Ratings & 131 Reviews",AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,"₹47,990","₹80,990"
APPLE 2022 MacBook AIR M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY13HN/A,4.8,78 Ratings & 10 Reviews,Apple M2 Processor,8 GB Unified Memory RAM,Mac OS Operating System,256 GB SSD,"₹1,10,490","₹1,19,900"
ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and Light La...,4.2,"1,070 Ratings & 94 Reviews",Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,"₹44,990","₹70,990"
APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGND3HN/A,4.7,"9,917 Ratings & 863 Reviews",Apple M1 Processor,8 GB DDR4 RAM,Mac OS Operating System,256 GB SSD,"₹79,990","₹99,900"
MSI Bravo 15 Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX65...,4.6,61 Ratings & 13 Reviews,AMD Ryzen 7 Octa Core Processor,16 GB DDR RAM,64 bit Windows 11 Operating System,512 GB SSD,"₹59,990","₹72,990"
APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN93HN/A,4.7,"9,917 Ratings & 863 Reviews",Apple M1 Processor,8 GB DDR4 RAM,Mac OS Operating System,256 GB SSD,"₹79,990","₹99,900"
HP 15s Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5111TU Thin and Light Laptop,4.3,"1,616 Ratings & 114 Reviews",Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,"₹55,990","₹70,235"
HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light Laptop,4.2,"2,693 Ratings & 231 Reviews",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,"₹36,490","₹47,279"
acer Aspire 7 Ryzen 5 Hexa Core AMD R5-5500U - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,4.4,"5,902 Ratings & 700 Reviews",AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,"₹49,999","₹84,990"
